title:あいしあう【愛合】	type:［新項目］	date:2012年10月03日	citation:そして二人の魂は、不識（しらず）に温和に愛し合ふ	book:中原中也詩集/単行本/1981年/中原中也/（青空文庫）/	explanation:〔他ワ五〕互いに愛する。	comment:コメント：もう一つの語釈のために。	reply:第２版では、立項されませんでした。
title:まひる【麻痺】	type:［新項目］	date:2013年02月18日	citation:「麻痺るまでシカ卜しよう!」なんて言い合いながら、	book:『モンスターハンター』プレイ日記 本日も逆鱗日和/単行本/2007年/大塚 角満/88/エンターブレイン	explanation:〔自ラ五〕麻痺する。特にコンピュータゲーム内で、キャラクターが麻痺状態に陥ることを指す。	comment:コメント：ゲーム用語ですが。	reply:第２版では、立項されませんでした。
title:まもりかためる【守固】	type:［新項目］	date:2013年02月18日	citation:又人の家に金あれば大勢人を以て守り固め、	book:完本獨寝/単行本/1920年/柳沢 淇園(著), 石川 巖(編)/15/従吾所好社	explanation:〔他マ下一〕かたく守る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:まもりつぐ【守継】	type:［新項目］	date:2013年02月18日	citation:扱又御取次と云ふ事は、天道の命を段々に守り継ぐ事なるが故に、	book:[新訳]鉄舟随感録: 「剣禅一如」の精髄を極める/単行本/2012年/山岡 鉄舟 (著), 渡辺 誠 (編集, 翻訳), 勝 海舟 (その他)//PHP研究所	explanation:〔他ガ五〕伝統などを守り、後世に受け継いでいく。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:まもりつたえる【守伝】	type:［新項目］	date:2013年02月18日	citation:その一面づつをそれぞれに守り傳へて行つたやうにも見える。	book:國文學研究/単行本/1943年/武田 祐吉/402/大岡山書店	explanation:〔他ア下一〕伝統などを守り、後世に伝えていく。	comment:コメント：一語とも二語とも取れますが、個人的な感覚では一つのアクセント核を持ち一語となります。	reply:第２版では、この語形では立項されませんでした。
title:まよいあるく【迷歩】	type:［新項目］	date:2013年02月18日	citation:此處彼處迷ひ歩きける。	book:校訂 一九全集 全/単行本/1900年/十返舎 一九(著), 博文館編輯局(校訂)/9/博文館	explanation:〔自カ五〕道に迷ってあちこち歩き回る。	comment:コメント：「さまよいあるく」はあるようですが。	reply:第２版では、立項されませんでした。
title:まよいでる【迷出】	type:［新項目］	date:2013年02月18日	citation:一羽迷ひ出た雛鳥（ひよつこ）を見つけ	book:徳田秋声全集/単行本/2002年/徳田 秋聲/206/八木書店	explanation:〔自ダ下一〕迷って外に出る。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:まわしいれる【回入】	type:［新項目］	date:2013年02月18日	citation:水溶き片栗粉を回し入れて大きく混ぜてとろみをつけ、	book:きほんの料理/単行本/2005年/芝池 早苗/47/西東社	explanation:〔他ラ下一〕液体を入れた容器を回しながら、別の液体に均等に注ぎ入れる。	comment:コメント：料理用語のようです。	reply:第２版では、立項されませんでした。
title:まわしかける【回掛】	type:［新項目］	date:2013年02月18日	citation:溶き卵2個分を全体に回しかけてとじる。	book:きのこを使ったヘルシーおかず/単行本/1989年/奥村 彪生/59/保育社	explanation:〔他カ下一〕容器を回しながら液体をかける。	comment:コメント：「まわしいれる」に似ています。ところで、用例中の「とじる」の語義は「閉じる」に分類されていますが、慣習的に「綴じる」と書かれることが多いですね。	reply:第２版では、立項されませんでした。
title:まわしこむ【回込】	type:［新項目］	date:2013年02月18日	citation:このエッジを切り替えたとき、最初に行った体を回し込んでいく体の流れでそのまま回り、360度回ることになる。	book:スキーボーダーになる本/単行本/2002年/不明/48/エイ出版社	explanation:〔他マ五〕回して内側に向ける。	comment:コメント：語釈にはあまり自信がありません。	reply:第２版では、立項されませんでした。
title:まわしのむ【回飲】	type:［新項目］	date:2013年02月18日	citation:水を一つのコップで大勢が回し飲むのには驚いた。	book:ホテルマンがすすめるこはく色の旅あかね色の宿/単行本/2005年/原嶋 俊文/92/文芸社	explanation:〔他マ五〕液体を飲むとき、器を順々にまわして飲む。	comment:コメント：「回し飲み」の動詞化です。	reply:第２版では、立項されませんでした。
title:まわしみる【回見】	type:［新項目］	date:2013年02月18日	citation:クラスの何人かで遠足のスナップ写真を回し見ていたとき、	book:十六年の優美/単行本/2005年/冴木 由里/41/文芸社	explanation:〔他マ上一〕複数の人が、物を順々に回して見る。	comment:コメント：「回し読む」「回し飲む」は名詞が多いのですが、「回し見る」は動詞が多いようです。前二者から、「回し見」を経ずに直接「回し見る」ができたのかもしれません。	reply:第２版では、立項されませんでした。
title:まわしよむ【回読】	type:［新項目］	date:2013年02月18日	citation:唯ひとつの楽しみは近所の悪童たちと回し読むマンガ本であったように思う。	book:中日、恩讐の朋友: 中国遼寧省の旅/単行本/2002年/手塚 信夫/251/文芸社	explanation:〔他マ五〕順にまわして読む。	comment:コメント：「回し読み」のほうがずっと多いですが。	reply:第２版では、立項されませんでした。
title:みあさる【見漁】	type:［新項目］	date:2013年02月18日	citation:そして僅かなお小遣の殘りを大事さうに持つて玩具店を見漁（あさ）るのであつたがは大抵はエレキといふものを買ふことが常であつた。	book:俳句文学全集 原 石鼎篇/単行本/1938年/原 石鼎/293/第一書房	explanation:〔他ラ五〕探し求めて、いろいろなものを手あたり次第に見る。	comment:コメント：「よみあさる」と同じ構成です。映画などについても言います。	reply:第２版では、立項されませんでした。
title:みおさめる【見納】	type:［新項目］	date:2013年02月18日	citation:私は世紀の飛行船の最後の英姿をこの塩浜の地で、しかも特等席でこの目に見納めたのだった。	book:塩浜の家: 八十四歳の青春手帖/単行本/2007年/村澤 三郎/25/文芸社	explanation:〔他マ下一〕これを限りと見る。最後に見る。	comment:コメント：「見納め」からです。	reply:第２版では、立項されませんでした。
title:みがきあがる【磨上】	type:［新項目］	date:2013年02月18日	citation:その方が理に叶い、より美しく磨き上がったからだ。	book:遙けくも来つるものかな越し方ぞ果な知らねそ雲のあなたは/単行本/2003年/近江 陸奥彦/134/文芸社	explanation:〔自ラ五〕磨いて仕上がる。	comment:コメント：「みがきあげる」に対応する自動詞ですが、比喩的な意味での用例は見つかりませんでした。	reply:第２版では、立項されませんでした。
title:ミクる	type:［新項目］	date:2013年02月18日	citation:ミクシィを使って、日記やメッセージを読んだり書いたりすること全般を指して「ミクる」という。	book:mixi完全攻略マニュアル: For PC + cell phone/単行本/2007年/田口和裕, 森嶋良子/285/インプレスジャパン	explanation:〔他ラ五〕ミクシィを使って、日記やメッセージを読んだり書いたりする。	comment:コメント：「ググる」同様、特定のサービスと結びついた言い方ですが、「ググる」に比べるとはるかにマイナーで、特筆性に欠けるかもしれません。	reply:第２版では、立項されませんでした。ミクというと今や初音ミクの方がメジャー感ありますね。
title:みだれまう【乱舞】	type:［新項目］	date:2013年02月18日	citation:木の葉亂れ舞ひて空高く透ける梢に、	book:[言闌]言/単行本/1901年/幸田露伴/40/春陽堂	explanation:〔自ワ五〕ばらばらに空を舞う。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:みっかる【見】	type:［新項目］	date:2013年02月18日	citation:三里（り）歩（ある）いても、五里（り）歩（ある）いても、根ツから湯場（ゆば）が見（み）ツかりさうにもないので、	book:徳田秋声全集/単行本/1999年/徳田 秋声/95/八木書店	explanation:〔自ラ五〕「見つかる」の変化した語。	comment:コメント：「みっかる」であるように見えます。	reply:第２版では、立項されませんでした。
title:むきとる【剥取】	type:［新項目］	date:2013年02月18日	citation:初め犢の頭皮をむき取り、	book:食道楽（下）/単行本/2005年/村井 弦斎/（青空文庫）/岩波書店	explanation:〔他ラ五〕むいて取る。はぎ取る。	comment:コメント：そのままの意味ですが。	reply:第２版では、この語形では立項されませんでした。
title:むさぼりくらう【貪食】	type:［新項目］	date:2013年02月18日	citation:いかなる月の頃にてもすべての食物（くひもの）を貪りくらひ	book:神曲（下）/単行本/1958年/ダンテ(著), 山川 丙三郎(訳)/（青空文庫）/岩波書店	explanation:〔他ワ五〕欲ばって食べる。がつがつして食べる。	comment:コメント：「むさぼりくう」よりは少ないですが。	reply:第２版では、立項されませんでした。
title:むさぼりたべる【貪食】	type:［新項目］	date:2013年02月18日	citation:船に乗ってからろくろく運動もせずに、野菜気の少ない物ばかりをむさぼり食べたので、	book:或る女 前編/単行本/1950年/有島 武郎/（青空文庫）/岩波書店	explanation:〔他バ下一〕欲ばって食べる。がつがつして食べる。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:むさぼりもとめる【貪求】	type:［新項目］	date:2013年02月18日	citation:彌が上にもむさぼり求め、	book:廣文庫 第拾七册/単行本/1918年/物集 高見/38/廣文庫刊行會	explanation:〔他マ下一〕欲ばって求める。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:むしやく【蒸焼】	type:［新項目］	date:2013年02月18日	citation:カモテを蒸し焼く匂いが微かに鼻をくすぐった。	book:ルソンの木霊: 比律賓参戦記/単行本/1999年/平間 光一/136/文芸社	explanation:〔他カ五〕蒸し焼きにする。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:むれおよぐ【群泳】	type:［新項目］	date:2013年02月18日	citation:中等大の魚が群れ泳ぐ。	book:生物学巡礼/単行本/1936年/小泉 丹/350/岩波書店	explanation:〔自ガ五〕群れをなして泳ぐ。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:もぎおとす【―落】	type:［新項目］	date:2013年02月18日	citation:いかで助け置くべきと森助が脇差をすらりと抜いて打ちかゝるを、ひらりとくゞつてもぎ落し、	book:江戸文学叢説/単行本/1931年/藤井 乙男/384/岩波書店	explanation:〔他サ五〕もいで落とす。他についているものをねじって落とさせる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:メカメカしい	type:［新項目］	date:2013年02月18日	citation:特に3ピースクランクのメカメカしいルックスがインパクト大。	book:Bmxトリック完全マニュアル/単行本/2002年/不明/40/エイ出版社	explanation:〔形口〕（「メカニズム」の略「メカ」をかさねて強調した語）いかにも機械らしい。	comment:コメント：いい語釈が思いつきませんでした。	reply:第２版では、立項されませんでした。
title:にくにくしい【肉肉】	type:［新項目］	date:2013年02月18日	citation:かぶりつくと、アメリカンな肉々しい弾力と肉の旨味が！	book:別冊ライトニングvol.14 ベスト・オブ・東京/単行本/2005年/不明/86/エイ出版社	explanation:〔形口〕食べ物について、肉が多い。また、肉の食感が味わえる。	comment:コメント：かなり前から耳にします。	reply:第２版では、立項されませんでした。
title:めくりあがる【捲上】	type:［新項目］	date:2013年02月18日	citation:女のまといものは太股までめくり上がり、	book:穴神/単行本/2000年/笠原 將弘/100/文芸社	explanation:〔自ラ五〕「めくれあがる」に同じ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:めくりあげる【捲上】	type:［新項目］	date:2013年02月18日	citation:彼は兩袖をめくり上げてゐた。	book:懺悔/単行本/1915年/鈴木 三重吉/388/東洋印刷	explanation:〔他ガ下一〕めくって上げる。まくり上げる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:めくりかえす【捲返】	type:［新項目］	date:2013年02月18日	citation:路面にあいた舗装の穴から、指でめくり返してアスファルトの塊を作っては一人で遊んでいたからだ。	book:光彩ある少青年記/単行本/2002年/園井 藪彦/29/文芸社	explanation:〔他ア下一〕めくって裏返しにする。	comment:コメント：「めくった箇所をもう一度めくる」とは別の語義です。	reply:第２版では、立項されませんでした。
title:めくれかえる【捲返】	type:［新項目］	date:2013年02月18日	citation:山地斜面にめくれ返った地層にできた巨大なシャッター・コーンを観察することができました。	book:宇宙137億年のなかの地球史/単行本/2011年/川上 紳一/186/PHP研究所	explanation:〔自ア下一〕めくれて裏返しになる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:めぐりくる【巡来】	type:［新項目］	date:2013年02月18日	citation:かうなるべきが自然に巡り來る天の配劑かは知らねど、	book:浪六全集 第十四編/単行本/1919年/村上 浪六/694/至誠堂書店	explanation:〔自カ変〕運命的にそうなる。そのような巡り合わせになる。	comment:コメント：一語のように思えます。	reply:第２版では、立項されませんでした。
title:めしとらえる【召捕】	type:［新項目］	date:2013年02月18日	citation:大納言召（め）し捕（とら）へられ給ひしより	book:校訂源平盛衰記 巻第四十八/単行本/1893年/博文館編輯局 校訂/136/博文館	explanation:〔他ア下一〕官命によって罪人などをつかまえる。逮捕する。捕縛する。	comment:コメント：「めしとる」(2) と同じだと思います。	reply:第２版では、立項されませんでした。
title:もえくちる【燃朽】	type:［新項目］	date:2013年02月18日	citation:それはあっというまに燃え朽ちて、	book:エディアカラの園/単行本/2006年/森高 芙人/105/文芸社	explanation:〔自タ上一〕燃えて形を失う。燃えつきる。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:もえる【萌】	type:［新項目］	date:2013年02月18日	citation:ただ猫が鍋に入り込んで丸くなって眠る姿に、世界中が「きゃわい〜い[ハートマーク]」と萌えた。	book:ソーシャルエコノミー 和をしかける経済/単行本/2012年/阿久津 聡 (著), 谷内 宏行 (著), 金田 育子 (著), 鷲尾 恒平 (著), 野中 郁次郎 (監修, その他) /64/翔泳社	explanation:〔自ア下一〕対象のかわいさによって、愛情や保護欲がかきたてられる。	comment:コメント：かなり前からある言葉ですが。ここでは、インターネットユーザーを読者として想定しているためか、注釈なしで使われています。漢字は、語源的には「燃」だと思われますが、慣習的には「萌」です。	reply:第２版では、立項されませんでした。
title:もえすすむ【燃進】	type:［新項目］	date:2013年02月18日	citation:其火の燃え進む勢を助くることは益々烈しくして	book:思軒全集 巻一/単行本/1907年/森田 思軒/530/報文社	explanation:〔自マ五〕火が、勢いを増し範囲を広げながら、どんどん燃えていく。	comment:コメント：「かきすすむ」と似たような構成の語です。	reply:第２版では、立項されませんでした。
title:もえる【萌】	type:［新項目］	date:2013年02月18日	citation:やっぱラノベに萌える女の子が一人もいないのは致命傷よ。	book:妹はラノベの女神ちゃん/単行本/2012年/酒井 直行/10/PHP研究所	explanation:〔自ア下一〕愛情や保護欲をかきたてるような、かわいらしい外見や性格をしている。	comment:コメント：「萌える」のもうひとつの語義で、こちらは「かわいらしい人・物」が主語となります。	reply:第２版では、立項されませんでした。
title:もる【盛】	type:［語釈］	date:2013年02月19日	citation:話を盛って書くよりも、何百倍も有効ですよ。	book:カリスマ内定者100人の告白/単行本/2011年/PICASO〜東大・早慶ベストセラー出版会/38/主婦の友社	explanation:〔他ラ五（四）〕（話の内容などを）おおげさに言う。よりよく聞こえるように話す。	comment:コメント：目的語なしでも使われます。	reply:第２版では、この用法に触れていませんね。
title:むせこむ【噎込・咽込】	type:［新項目］	date:2013年02月18日	citation:カルキが腰に山刀を括り付けると、サティスは慌てて齧っていたゆで卵を飲み込んだ。そしてむせ込みながら、	book:ネパール釣り紀行人生を激変させた『神の魚・サハール』/単行本/2001年/小林 龍彦/54/つり人社	explanation:〔自マ五〕息ができないほど続けてむせる。	comment:コメント：「せきこむ」と同じ構造です。	reply:第２版では、立項されませんでした。
title:もげおちる【―落】	type:［新項目］	date:2013年02月18日	citation:元宗久寺の本尊と稱せられる双手のもげ落ちたる如來形の小佛體を安置すれども、	book:史蹟名勝天然紀念物調査報告 第拾四輯/単行本/1933年/長野県/138/長野県	explanation:〔自タ上一〕もげて落ちる。ちぎれて取れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もさい	type:［新項目］	date:2013年02月18日	citation:ハチをおさえずトップがつぶれると、な〜んかモサい。	book:CHOKiCHOKi /単行本/2008年2月1日/CHOKi CHOKi/54/内外出版社	explanation:〔形口〕格好悪い。垢抜けしない。	comment:コメント：もっと古いようですが、とりあえず。	reply:第２版では、立項されませんでした。
title:もっさい	type:［新項目］	date:2013年02月18日	citation:この何とも言えずもっさい歌謡デュエットは、	book:ポップ・フランセーズ名曲101徹底ガイド/単行本/2007年/向風 三郎 (著), 藤本 国彦 (編集) /163/音楽出版社	explanation:〔形口〕「もさい」に同じ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もだえくるう【悶狂】	type:［新項目］	date:2013年02月18日	citation:ものの怪のついたようになって、しばし悶え狂うたのじゃ。	book:東文彦選集/単行本/2010年/阿部 誠/98/三恵社	explanation:〔自ワ五〕思い煩い、非常に苦しむ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もだえしぬ【悶死】	type:［新項目］	date:2013年02月18日	citation:われまた終にうち惱み もだえ死ぬべきわざをする	book:永遠の平和/単行本/1918年/亀谷 聖馨/220/弘道館	explanation:〔自ナ変〕（「もだえじぬ」とも）もだえ苦しみながら死ぬ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もだえなく【悶泣】	type:［新項目］	date:2013年02月18日	citation:村雨姫は姉君の、死骸に縋り悶え泣く、	book:校訂 文耕堂淨瑠璃集/単行本/1900年/文耕堂(著), 水谷不倒(校訂)/667/博文館	explanation:〔自カ五〕もだえながら泣く。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もってく【持】	type:［新項目］	date:2013年02月18日	citation:それなら、持ってくといい。	book:裏切られた初恋: ワイオミングの風/単行本/2012年/ダイアナ パーマー (著), 長田 乃莉子 (訳) /38/ハーレクイン	explanation:〔他カ五〕「持って行く」の変化した語。	comment:コメント：「〜行く」は口語で「〜く」になることが多いですが、これは特に常用されるものです。	reply:第２版では、立項されませんでした。
title:ものっすごい【物凄】	type:［新項目］	date:2013年02月18日	citation:「何だろう?いったいこれから、わたしに対して何を言ってくるのかな?」なんて、ものっすごく気になりませんか?	book:初対面3秒の魔法/単行本/2007年/佐藤 伝/41/PHP研究所	explanation:〔形口〕「ものすごい」の音が変化したもの。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:もんのすごい【物凄】	type:［新項目］	date:2013年02月18日	citation:今回、もんのすごく言葉選んでます。	book:愛される心理学/単行本/2006年/ゆうき ゆう/82/主婦の友社	explanation:〔形口〕「ものすごい」の音が変化した語。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:もらいあるく【貰歩】	type:［新項目］	date:2013年02月18日	citation:同じ小正月の夜に、様々な変装を施したものが、村の家々を訪ねてまわり、餅や銭をもらい歩くという例は少なくない。	book:七福神信仰事典/単行本/1998年/宮田 登/312/戎光祥出版	explanation:〔他カ五〕物をもらいながら歩き回る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もりいれる【盛入】	type:［新項目］	date:2013年02月18日	citation:鉢にても重箱にても盛り入れて、	book:校訂 落語全集/単行本/1899年/石橋思案/91/博文館	explanation:〔他ラ下一〕盛って中に入れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もりいれる【盛入】	type:［新項目］	date:2013年02月18日	citation:その詞書の部分に新しい文學的要求を盛り入れようと試みるに至つたのである。	book:日本文學原論/単行本/1937年/藤村 作/224/同文書院	explanation:〔他ラ下一〕一つの計画や考えの中に、いろいろなものをいっしょに取り入れる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もりさがる【盛下】	type:［新項目］	date:2013年02月18日	citation:その場所があまり遠いと、行きたいという気持ちも盛り下がります。	book:都会に住んで、元気になろう。/単行本/2003年/中谷 彰宏//PHP研究所	explanation:〔自ラ五〕高まった気持ち、勢いなどがそがれる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もりさげる【盛下】	type:［新項目］	date:2013年02月18日	citation:心に沿った悲しい音楽を聴いて気持ちを盛り下げまくるほうが身のため。	book:シロクマのことだけは考えるな!: 人生が急にオモシロくなる心理術/単行本/2008年/植木 理恵/38/マガジンハウス	explanation:〔他ガ下一〕高まった気持、勢いなどをそぐ。	comment:コメント：もっと前からあると思いますが。	reply:第２版では、立項されませんでした。
title:もれこむ【漏込】	type:［新項目］	date:2013年02月18日	citation:炉壁に穴があくと,燃焼にほとんど寄与しない空気が漏れ込み,燃焼状態をかく乱し黒煙が出やすくなるだけでなく,	book:小型焼却炉/単行本/2004年/三好 康彦/97/環境コミュニケーションズ	explanation:〔自マ五〕すき間から空気などが漏れて入る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:もれつたわる【漏伝】	type:［新項目］	date:2013年02月18日	citation:既に“上野介屋敷替え”の情報は漏れ伝わり、	book:元禄赤穂動乱/単行本/2000年/宮岡 皓/193/文芸社	explanation:〔自ラ五〕秘密にしていた情報などが漏れ、外に伝わる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:べつばら【別腹】	type:［新項目］	date:2013年02月19日	citation:昔から甘いものは別腹	book:グッバイ・クルァルワールド/単行本/2000年/綾小路 光阿一/77/文芸社	explanation:俗に、甘い物などの間食が入るとされる腹。食事で満腹になっても甘い物は食べられるというときに言う。	comment:コメント：よく聞く表現ですが、いつからあるのでしょうか。	reply:2007年1月23日付けで、skidさんから、綾小路光阿一『グッバイ・クルァルワールド─銀河楽園伝説』（2000）からの例をご紹介いただいています。
title:げろ	type:［語釈］	date:2013年02月19日	citation:「ゲロうま」ってのもあるんですよ。	book:はじめてみよう言語学/単行本/2007年/佐久間 淳一/61/研究社	explanation:俗に、程度が普通以上であるさまを強調して言う。	comment:コメント：文脈の中の用例ではないですが。口語では使われますが、書籍にはあまり出現しないようです。	reply:さらに、用例をさがしてみたいところですね。
title:おに【鬼】	type:［語釈］	date:2013年02月19日	citation:うわ、鬼キモ、エロ親父だね	book:桜小僧/単行本/2012年/ヒキタ クニオ/277/PHP研究所	explanation:俗に、程度が普通以上であるさまを強調していう。	comment:コメント：接頭辞から副詞用法が生まれているという点で、「超」と似ています。	reply:第２版では、この用法に触れていませんね。接頭辞からの派生と見るべきなんでしょうね。
title:やきこげ【焼焦】	type:［新項目］	date:2013年02月19日	citation:その焼き焦げの黒い灰が、	book:海野十三全集 第11巻 四次元漂流/単行本/1988年/海野十三/（青空文庫）/三一書房	explanation:〔名〕「やけこげ（焼焦）」に同じ。	comment:コメント：とりあえず。	reply:第２版では、この語形では立項されませんでした。
title:やきこげる【焼焦】	type:［新項目］	date:2013年02月19日	citation:浜手の大将である信忠は、あたりの焼き焦げた臭気を嗅ぎながら到着した。	book:織田信忠: 「本能寺の変」に散った信長の嫡男/単行本/2004年/近衛 龍春/263/PHP研究所	explanation:〔自ガ下一〕「やけこげる（焼焦）」に同じ。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やきしめる【焼締】	type:［新項目］	date:2013年02月19日	citation:原料には低熱にて燒き締め得べき粘土を用ひ、	book:高等商品学/単行本/1925年/坂口 武之助/328/三省堂	explanation:〔他マ下一〕形づくった器物を、水分を取り除くために窯に入れ、低火度で焼く。焼き締めをする。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やきしまる【焼締】	type:［新項目］	date:2013年02月19日	citation:弱い焼き締まり易い土には自然灰もつき易いしまたとけやすい。	book:日本の陶磁8 信楽・伊賀/単行本/1977年/平野 敏三/41/保育社	explanation:〔自ラ五〕焼き締めがされる。焼き締めが完了する。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やきとばす【焼飛】	type:［新項目］	date:2013年02月19日	citation:その前処理として第3図のように部品表面を酸水素炎で燃焼させ、ゴミ、埃、油脂類を同時に焼き飛ばす方法が非常に効果的である。	book:よくわかる水素技術(初歩と実用シリーズ)/単行本/2008年/平田賢, 大橋一彦/172/日本工業出版	explanation:〔他サ五〕必要のないものなどを、焼いて取り去る。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やきなます【焼鈍】	type:［新項目］	date:2013年02月19日	citation:この要求に答えた鋼板の製造上のボイントは、鋼板を連続で焼きなます(さきほどのべた、結晶粒を均一に細かくする作業)ことにあります。	book:科学と技術の井戸端会議/単行本/2000年/技術志会/137/文芸社	explanation:〔他サ五〕金属やガラスなどを適当な温度に熱したのち、徐々に冷却する。焼きなましをする。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やけぶとる【焼太】	type:［新項目］	date:2013年02月19日	citation:此れから吾輩は焼け太るんである	book:人間大隈重信/単行本/1938年/五来 欣造/488/早稲田大学出版部	explanation:〔自ラ五〕火災にあった後、生活や事業が以前よりも豊かになる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やぶりすてる【破捨】	type:［新項目］	date:2013年02月19日	citation:甚しきは教師の眼に止まるのもかまはず、破り捨てたり、	book:國語教學の體驗/単行本/1942年/松尾 捨治郎/239/白水社	explanation:〔他タ下一〕破ってすてる。	comment:コメント：「さきすてる」があるので。もっとずっと古いと思いますが。	reply:第２版では、立項されませんでした。
title:やぶきすてる【破捨】	type:［新項目］	date:2013年02月19日	citation:幾度も書箋を破き捨てた。	book:豊島与志雄著作集 第三巻（小説III）/単行本/1966年/豊島 与志雄/（青空文庫）/未来社	explanation:〔他タ下一〕破ってすてる。	comment:コメント：「やぶりすてる」よりはずっと少ないですが。	reply:第２版では、立項されませんでした。
title:やぶりとる【破取】	type:［新項目］	date:2013年02月19日	citation:教育テレビの、テレビ版だけやぶり取り、	book:コギト・エルゴ・スム: ある女子中学生の日記/単行本/2004年/山本あや子, 藤野昌久/92/文芸社	explanation:〔他ラ五〕破って取る。	comment:コメント：そのままの意味ですが。	reply:第２版では、立項されませんでした。
title:やまぶかい【山深】	type:［新項目］	date:2013年02月19日	citation:山ぶかい貧しい信州の村。	book:再発見、からいもの魅力/単行本/2002年/南日本新聞社/178/南方新社	explanation:〔形口〕（「やまふかい」とも）山の奥深い。辺鄙である。	comment:コメント：この例では連濁しています。	reply:第２版では、立項されませんでした。
title:やみおとろえる【病衰】	type:［新項目］	date:2013年02月19日	citation:後（のち）數年（ねんねん）、久（ひさ）しぶりにて箱根（はこね）山上（さんじやう）にて相（あひ）會（あ）ひけるが、病（や）み衰（おとろ）へて、	book:大町桂月傑作選集/単行本/1927年/大町 桂月/203/己羊社出版部	explanation:〔自ア下一〕病気で痩せ衰える。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:やりにげ【遣逃】	type:［新項目］	date:2013年02月19日	citation:(8) やり逃げされる。	book:現代の性書: 幸せで健全な21世紀の日本を築くための提言/単行本/2001年/黒田 正宏/56/文芸社	explanation:〔名〕何かをした後、その後始末や対価の支払いをせずに逃げること。特に、性行為をした後に連絡を絶ってしまうこと、また、買春をした後に対価を支払わないことを指す。	comment:コメント：性行為に関する用例が多いですが、それ以外のものもあります。	reply:第２版では、立項されませんでした。
title:やりにげる【遣逃】	type:［新項目］	date:2013年02月19日	citation:世の中には、短期的に強引に売ってやり逃げる、という方法で業績を伸ばしているところもあるでしょう。	book:あなたに伝えたい「営業」という経験/単行本/2008年/五味渕 のり子/145/アメニモ	explanation:〔自ガ下一〕何かをした後、その後始末や対価の支払いをせずに逃げる。特に、性行為をした後に連絡を絶ってしまうこと、また、買春をした後に対価を支払わないことを指す。	comment:コメント：これは性行為がからまない用例です。	reply:第２版では、立項されませんでした。
title:ゆさぶりおこす【揺起】	type:［新項目］	date:2013年02月19日	citation:もう寝ていた八重子を揺さぶり起こした。	book:大人になんてなりたくない: 運命の星に泣かされて/単行本/2002年/岩船 安代/108/文芸社	explanation:〔他サ五〕揺さぶって目を覚まさせる。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
title:よがりくるう【善狂・良狂・好狂】	type:［新項目］	date:2013年02月19日	citation:よがり狂ってみせるのではなく、	book:増殖し続ける細部/単行本/2000年/村上 龍//集英社	explanation:〔自ワ五〕快感のあまり、狂ったようになる。	comment:コメント：OCR 結果より。不正確であれば申し訳ありません。	reply:第２版では、立項されませんでした。
title:よがりなき【善泣・良泣・好泣】	type:［新項目］	date:2013年02月19日	citation:よがり泣き舅（しゆうと）親父で空（そら）いびき	book:江戸川柳散策/単行本/1988年/興津 要/58/時事通信出版局	explanation:〔名〕快感のあまり声を上げること。特に、女性について言う。	comment:コメント：とりあえず。	reply:第２版では、立項されませんでした。
